outlet_name,postal_code,onemap_address,planning_area
Singapore Pools Hougang N1 Branch,530106,106 HOUGANG AVENUE 1 SINGAPORE 530106,HOUGANG
Singapore Pools Clementi N7 Branch,120722,722 CLEMENTI WEST STREET 2 SINGAPORE 120722,CLEMENTI
NTUC FairPrice Toa Payoh HDB Centre,310500,500 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310500,TOA PAYOH
NTUC FairPrice Clementi Avenue 3,120451,451 CLEMENTI AVENUE 3 CLEMENTI POLYCLINIC SINGAPORE 120451,CLEMENTI
Singapore Pools Yishun N1 Branch,760101,101 YISHUN AVENUE 5 SINGAPORE 760101,YISHUN
Singapore Pools Whampoa Drive Branch,320088,88 WHAMPOA DRIVE SINGAPORE 320088,NOVENA
Singapore Pools Teck Whye Branch,680141,141 TECK WHYE LANE SINGAPORE 680141,CHOA CHU KANG
Singapore Pools Tanjong Pagar Branch,82001,1 TANJONG PAGAR PLAZA MULTI STOREY CAR PARK SINGAPORE 082001,OUTRAM
Singapore Pools Jurong West N5 Branch,640508,508 JURONG WEST STREET 52 HONG KAH POINT SINGAPORE 640508,JURONG WEST
Singapore Pools IMM Branch,609601,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,JURONG EAST
Singapore Pools Hougang N2 Branch,530211,211 HOUGANG STREET 21 KOVAN CITY SINGAPORE 530211,HOUGANG
NTUC FairPrice Yishun MRT Station,769093,301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,YISHUN
NTUC FairPrice Jurong Gateway Road,600135,135 JURONG GATEWAY ROAD J CONNECT SINGAPORE 600135,JURONG EAST
Jake Merchandise Associates,520503,503 TAMPINES CENTRAL 1 TAMPINES HEART SINGAPORE 520503,TAMPINES
7-Eleven Store Yishun Ring Road,760103,103 YISHUN RING ROAD SINGAPORE 760103,YISHUN
Wanrise,380047,47 SIMS PLACE SIMS VISTA SINGAPORE 380047,GEYLANG
Tay Sui Lan Agency,49317,11 COLLYER QUAY THE ARCADE SINGAPORE 049317,DOWNTOWN CORE
