outlet_name,draw_date,draw_number,prize_amount,bet_type,prize_group,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
Teo Sook Cheng Agency,23/02/2017,3243,89302.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,22/12/2016,3225,131039.0,QP system 7,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,19/09/2016,3198,109012.0,QP system 8,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,08/09/2016,3195,2257276.0,system 7,1,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,15/02/2016,3136,136081.0,QP ordinary,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,11/02/2016,3135,89225.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,11/02/2016,3135,89225.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,23/11/2015,3112,78901.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,20/08/2015,3085,78397.0,QP ordinary,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,23/03/2015,3042,129415.0,QP system 7,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
