outlet_name,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
Hin Teck Leong Trading Company - Whampoa Drive,320074,Authorised Retailer,TOA PAYOH,CENTRAL REGION,residential,121850,1,0,1.32471579654689,103.857752875203,404437,12059,0,70105,50766,112,0.971,1644815,61542,67470,211777,244461,245,0.9463,3074826,655533,178499,748142,378773,448,0.8095,11.0,1,15,16,3148,4120,1035,245.0,61542.0,277.93451291295173,1,287662.22086490504,0.0011157131171692512,20.57821273306967,0.015458937198067632,0.0008674907829104315,-1.0092346265811458,253575.0,35.9251468445661,-3.3243156546379224
Hock Soon Ann,460073,Authorised Retailer,BEDOK,EAST REGION,residential,276990,1,0,1.31983803117222,103.943971359147,516035,0,0,14093,27766,48,1.0,1924143,0,113780,128839,144717,102,0.9721,3451595,173322,135106,304081,746074,198,0.9359,11.0,2,25,27,2196,4160,1987,102.0,0.0,102.0,0,202674.0,0.0007860818136955027,14.498492971799852,0.013588324106693507,0.0014638906961613532,3.283227208713653,202674.0,28.71376599260806,-0.31982060628311326
Holland Drive Betting Centre – Lottery Lobby (Public),270047,Betting Centre,QUEENSTOWN,CENTRAL REGION,residential,95930,2,1,1.30853249504926,103.792385082436,279113,190063,36967,15740,78986,45,0.588,1583040,375179,57215,154703,145070,132,0.7997,3850551,546936,63284,483989,299442,192,0.8703,8.0,2,12,14,2529,4169,1654,132.0,375179.0,332.77894153859654,0,550416.3693048387,0.0021348189598608663,39.374600895673815,0.008464328899637243,0.0007590544350466276,-4.043813686191957,218328.0,30.931540807573406,-3.0443578791129418
Hougang United Football Club,538856,,HOUGANG,NORTH-EAST REGION,residential,227560,1,0,1.36949523794775,103.885957512282,353672,0,0,38004,77214,70,1.0,1809317,24019,67734,268729,167187,251,0.9696,4074030,141459,231422,797135,251750,588,0.9422,0.0,7,18,25,1784,3512,2399,251.0,24019.0,263.8538894682686,1,632985.4808343764,0.002455067620006545,45.281267183400715,0.010421008753647354,0.0013554543482975493,-3.013948314725429,602149.0,85.3092428169521,-6.529588796889065
Ichido Kopitiam City,543277,Authorised Retailer (FairPrice),SENGKANG,NORTH-EAST REGION,residential,249370,2,1,1.38233698966981,103.893607838756,287550,0,37256,66106,55102,109,0.9426,1438242,171329,53781,381912,202266,379,0.8808,3297334,199856,170563,875283,384504,794,0.9223,12.0,1,8,9,3298,3536,885,379.0,171329.0,470.68758186056846,1,416558.5099466031,0.0016156441823278853,29.798941298855517,0.010169491525423728,0.00048796356538711777,-3.8101389310651306,335415.0,47.51979938428527,-5.587875449127306
Jake Merchandise Associates,520503,Authorised Retailer,PASIR RIS,EAST REGION,residential,147110,1,0,1.3558033565401,103.945102946956,352018,161736,35313,58464,107524,61,0.6733,1573949,169877,77315,175488,435723,335,0.8855,3558802,192220,251260,570492,590004,772,0.9206,11.0,18,73,91,1881,4170,2302,335.0,169877.0,425.91053670848356,0,980446.0555029291,0.003802711810791438,70.13721663823729,0.03953084274543875,0.00493385382780308,2.491139137383343,771170.0,109.25523214876875,-1.7464905419997097
Jurong East Betting Centre - Lottery Lobby (Public),600352,Betting Centre,TENGAH,WEST REGION,residential,10,4,1,1.34492289474517,103.730400848037,363418,0,43091,65516,225945,41,0.947,899033,0,128848,206545,556787,143,0.9373,2854151,4879,181715,608707,1412485,446,0.9685,0.0,0,2,2,3638,3654,545,143.0,0.0,143.0,1,77935.0,0.0003022750138170609,5.575160354841871,0.003669724770642202,0.00010843634786380394,-1.5141428292599524,77935.0,11.041413070418058,-2.7209714334679163
Keppel Credit Union Co-operative Ltd,150001,,TANGLIN,CENTRAL REGION,residential,21810,1,0,1.28645354030174,103.808242400418,251391,255387,47452,44951,94184,37,0.4964,1023906,496899,64804,313172,503269,170,0.6662,2850193,667647,137298,548386,814152,358,0.7986,0.0,3,20,23,1880,3475,2303,170.0,496899.0,435.91801585799595,1,1003919.1905209647,0.00389375360474674,71.81639148594887,0.00998697351280938,0.0012470180004337454,-5.7604164689327,391510.0,55.4670383165378,-4.359384592889375
Kim Chwee Trading,600256,Authorised Retailer,TENGAH,WEST REGION,residential,10,1,0,1.34416527251747,103.738263367232,489107,0,44833,78674,59929,62,0.958,1424941,0,122919,288477,414523,248,0.9603,2675956,339170,193558,551665,896592,452,0.8641,11.0,21,53,74,1280,4169,2903,248.0,0.0,248.0,0,719944.0,0.0027923408295054864,51.50193425939919,0.02549087151222873,0.004012144870960746,3.1349701601023408,719944.0,101.9978070388023,-2.772225785880593
Kis Store,500004,Authorised Retailer,CHANGI,EAST REGION,residential,1850,2,1,1.38909635615366,103.98746284567,48051,7044,48160,28350,151097,7,0.6986,119287,7044,48160,28350,813694,7,0.8216,119287,73374,48160,28350,836124,7,0.5953,10.0,21,67,88,1366,4156,2817,7.0,7044.0,10.76963226672568,0,30338.05409536624,0.00011766774518328825,2.1702638921605684,0.03123890663826766,0.004771199306007373,58.26147894178497,19719.0,2.793682226670606,50.97805893876
