outlet_name,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb,wins,reliable,p_two,sig
NTUC FairPrice Thomson Plaza,574408,Authorised Retailer (FairPrice),BISHAN,CENTRAL REGION,residential,87320.0,1,0,1.35466902496424,103.830919782333,427690,34933,0,10891,8977,13,0.9245,1797786,220371,11473,72407,24105,36,0.8886,2407376,419274,11473,400509,460924,81,0.8502,11.0,13,60,73,1343,4160,2840,36.0,220371.0,153.93265648077863,0,437168.7444054113,0.0016955820652535,31.27331561153587,0.0257042253521126,0.0039579266970288,7.461513224563192,102240.0,14.484815196247414,15.37489298622435,73,True,2.832493486812639e-10,True
NTUC FairPrice Clementi Avenue 3,120451,Authorised Retailer (FairPrice),CLEMENTI,WEST REGION,residential,91990.0,1,0,1.31248109025097,103.765476495005,371402,3788,57538,50698,93773,74,0.9248,1686508,14300,144008,307389,190680,198,0.9532,2876682,598462,202558,1020973,391298,255,0.8097,11.0,22,59,81,1672,4177,2511,198.0,14300.0,205.65271740689624,0,516393.9734087165,0.0020028613004063,36.94077382469421,0.032258064516129,0.004391672088484,7.249096329517149,497178.0,70.43751417879398,1.258531611614074,81,True,5.239985739863083e-10,True
Cheng Chew Wah Agency - Marine Terrace,440058,Authorised Retailer,MARINE PARADE,CENTRAL REGION,residential,46220.0,1,0,1.30611781253448,103.914026029355,440625,6545,0,131218,2047,49,0.9854,1457536,73145,5165,227381,376984,77,0.9507,2924406,172737,35703,405402,688756,78,0.9392,11.0,18,42,60,1223,4162,2960,77.0,73145.0,116.14391711380604,0,343785.9946568659,0.0013333921381281,24.59308459563531,0.0202702702702702,0.0032530904359141,7.139726760325182,227920.0,32.290483954701784,4.876314004575407,60,True,2.3448812556731283e-09,True
Singapore Pools Jalan Batu Branch,431007,Branch,MARINE PARADE,CENTRAL REGION,residential,46220.0,1,0,1.30237002555566,103.88359641393,324215,3808,0,74415,55425,22,0.9884,1191105,44099,0,169505,659286,76,0.9643,2342952,335895,3412,195750,1211293,81,0.8741,12.0,5,36,41,2140,4142,2043,76.0,44099.0,99.59980314172851,0,203482.3978185514,0.0007892172273321,14.55632254091422,0.0200685266764561,0.0022229451312079,6.931001873221829,155268.0,21.997538007540527,4.051565218451319,41,True,2.0995169312987496e-08,True
NTUC FairPrice Eastpoint Mall,528833,Authorised Retailer (FairPrice),TAMPINES,EAST REGION,residential,259900.0,1,0,1.34270592355576,103.953024618234,602181,15710,0,51143,27281,65,0.9746,1592576,218238,49225,354754,108170,154,0.8694,2749304,924342,110628,758949,237873,325,0.7411,11.0,7,73,80,2178,4160,2005,154.0,218238.0,270.79117073050526,0,542936.2973146631,0.0021058071055696,38.83950625512733,0.0399002493765586,0.0043374539145521,6.604557500513987,308770.0,43.744878600795325,5.48157998919742,80,True,9.994952345265407e-09,True
Singapore Pools Ang Mo Kio N7 Branch,560726,Branch,ANG MO KIO,NORTH-EAST REGION,residential,162280.0,1,0,1.37278358482637,103.84644830631,314202,19300,108154,10684,215938,59,0.8339,1421997,19300,249858,550566,278737,250,0.9147,3272248,84558,343112,931084,898622,463,0.9308,12.0,14,74,88,1661,4179,2522,250.0,19300.0,260.32849272399284,0,656548.4586499099,0.0025464578739971,46.9668690280043,0.0348929421094369,0.0047711993060073,5.987407977134144,630500.0,89.32586053632623,-0.1402843550464994,88,True,1.1834505668794279e-07,True
Tampines Trading - 828,520828,Authorised Retailer,PAYA LEBAR,EAST REGION,residential,40.0,1,0,1.34893084103853,103.934588111014,411848,0,49837,397865,12053,105,0.946,1516843,29689,73733,466421,198049,300,0.9589,2599927,771020,160781,667892,858416,486,0.7589,11.0,23,88,111,1346,4179,2837,300.0,29689.0,315.8882186778562,0,896174.876389078,0.0034758615916213,64.10879119586453,0.039125837151921,0.0060182173064411,5.856425655024081,851100.0,120.57928612603848,-0.8723621041085622,111,True,1.390402702723055e-07,True
Singapore Pools Holland Drive Branch,270046,Branch,QUEENSTOWN,CENTRAL REGION,residential,95930.0,1,0,1.30878949399241,103.792695569227,290562,99992,36967,15740,72988,44,0.7229,1569490,368362,57215,154703,145070,130,0.801,3934725,545378,63284,484688,297923,191,0.873,12.0,12,81,93,1945,4162,2238,130.0,368362.0,327.130789471267,0,732118.7068366956,0.0028395610730068,52.372864430538826,0.0415549597855227,0.0050422901756668,5.613878894889505,290940.0,41.21881976913362,8.065367646411127,93,True,5.20624221598838e-07,True
Singapore Pools Lorong 25A Geylang Branch,388251,Branch,GEYLANG,CENTRAL REGION,residential,110110.0,1,0,1.31549499038814,103.883256085887,376906,129308,3408,62504,7925,22,0.7429,1366174,505268,9329,218281,73368,137,0.7289,2776955,1196935,29514,417720,266162,266,0.6973,12.0,17,85,102,2151,4173,2032,137.0,505268.0,407.3967285837522,0,827830.1524821846,0.003210782970164,59.21968110170496,0.0501968503937007,0.005530253741054,5.559183189812134,278384.0,39.43995298896851,9.961594795478792,102,True,5.693850252130881e-07,True
Gerk Chwee Trading,557256,Authorised Retailer,SERANGOON,NORTH-EAST REGION,residential,116900.0,1,0,1.3646888567179,103.866035308524,566997,21597,0,4140,33227,0,0.9633,1765531,185483,40928,237078,130839,74,0.8966,3640344,958267,151819,454541,261407,300,0.7823,11.0,12,57,69,1265,4173,2918,74.0,185483.0,173.26216662820548,0,505579.0022211036,0.0019609148634374,36.16711374124087,0.0236463331048663,0.0037410540013012,5.459490771204949,215932.0,30.59208837007137,6.944102635008312,69,True,1.5615783169419416e-06,True
NTUC FairPrice Yishun Ring Road,760849,Authorised Retailer (FairPrice),YISHUN,NORTH REGION,residential,221610.0,1,0,1.4169831658118,103.835218177871,491485,0,46251,83114,83410,110,0.957,1905053,0,56322,278875,274872,251,0.9856,2646905,19812,135753,375692,568533,389,0.9687,11.0,12,61,73,1973,4167,2210,251.0,0.0,251.0,0,554710.0,0.00215147203329,39.68175018200211,0.0330316742081448,0.0039579266970288,5.289160803583182,554710.0,78.58833956876371,-0.6303818945658376,73,True,2.7601381302437342e-06,True
NTUC FairPrice Tampines Mall,529510,Authorised Retailer (FairPrice),TAMPINES,EAST REGION,residential,259900.0,1,0,1.35250468330971,103.944682574769,265893,169877,35313,40700,117067,56,0.6019,1593682,169877,129050,284780,317109,310,0.8761,3646360,352505,251320,526070,570224,760,0.8875,11.0,26,99,125,1446,4162,2737,310.0,169877.0,400.9105367084836,0,1097292.1389711194,0.0042559055170186,78.49592135589172,0.0456704420898794,0.0067772717414877,5.248890329373023,848470.0,120.20668182277038,0.4371917455252835,125,True,1.6103831905613314e-06,True
Singapore Pools Bukit Gombak Branch,650374,Branch,BUKIT BATOK,WEST REGION,residential,158030.0,1,0,1.35798291106742,103.750736425731,358950,0,36836,22798,222514,68,0.9535,1328783,37963,36836,165455,913247,219,0.9598,3138327,71118,239191,427142,1149603,469,0.9447,12.0,12,62,74,1784,4160,2399,219.0,37963.0,239.3160916725876,0,574119.3039225376,0.0022267520437008,41.07021469401864,0.0308461859107961,0.0040121448709607,5.138370464365946,525381.0,74.43316405144427,-0.050207565875583,74,True,4.817213822415411e-06,True
Singapore Pools LOT One Branch,689812,Authorised Retailer (FairPrice),CHOA CHU KANG,WEST REGION,residential,192070.0,3,1,1.38493874036122,103.745022476677,405645,17623,0,20208,130652,62,0.9584,1259567,48764,39224,179594,243694,285,0.9493,2732545,67371,47724,533903,409848,538,0.968,11.0,6,21,27,3713,4144,470,285.0,48764.0,311.09630151257966,0,146215.26171091243,0.0005671036152425,10.459659079534324,0.0574468085106383,0.0014638906961613,5.1142940211534365,133950.0,18.977318031468517,1.84162905685286,27,True,2.7972857181270994e-05,True
Mee Lee Cheong Pte. Ltd.,521139,Authorised Retailer,TAMPINES,EAST REGION,residential,259900.0,1,0,1.34607675043696,103.944284625086,293057,46631,51735,66840,55662,48,0.8148,1453689,374339,75631,283880,205045,203,0.7835,3230022,618461,202783,839612,420690,575,0.8223,11.0,24,90,114,1708,4160,2475,203.0,374339.0,403.3294112853243,0,998240.2929311777,0.0038717277005006,71.4101457080341,0.046060606060606,0.0061808718282368,5.039949613686221,502425.0,71.18088101500985,5.075233732118485,114,True,4.201523271179834e-06,True
